Gene,log2FC,AveExpr,t,P.Value,adj.P.Val,B
NEK2,4.635914729,2.537245292,58.92017255,0,0,867.8081103
TOP2A,4.425957583,5.576450446,56.92258012,0,0,833.5222012
UBE2T,3.524778655,3.135891337,56.00361004,0,0,817.6290826
GINS1,4.026985722,2.822285637,55.4291033,0,0,807.6132034
KIF4A,4.310112512,3.06939576,55.23308488,0,0,804.1944344
CCNB1,3.622655815,4.34323805,54.69185091,0,0,794.6951147
CENPF,4.12791334,4.560297845,54.66818948,0,0,794.2721767
RMI2,3.332693969,3.057367372,54.50916969,0,0,791.510353
SAPCD2,4.184661385,3.087797982,54.24910278,0,0,786.9391437
CDC20,4.333946291,3.920411484,54.16388241,0,0,785.4287581
MMP11,5.771798493,4.346202456,53.9619526,0,0,781.8558869
KIF20A,4.082907846,3.154636375,53.8735435,0,0,780.3240939
CEP55,4.162381543,3.325917832,53.37323844,0,0,771.4855784
DEPDC1,4.62278168,2.164485334,53.31026486,0,0,770.3522757
DLGAP5,4.265448158,2.770015375,53.13393345,0,0,767.2467619
HNRNPCP2,2.828420724,2.409873393,53.02042798,0,0,765.2272433
SKA3,4.094614269,1.65651019,52.88481616,0,0,762.7927327
ANLN,4.186670742,4.241566029,52.88436393,0,0,762.7948522
KIF11,3.392729574,3.850003299,52.74186294,0,0,760.2792783
EXO1,4.113772887,2.044505504,52.622341,0,0,758.1496379
OTX1,4.930239876,1.276978797,52.41714003,0,0,754.4663381
UHRF1,3.764317516,3.787167185,52.40323497,0,0,754.2589398
CDC25C,3.950234721,0.822212765,52.24444999,0,0,751.3683342
EPN3,4.782772309,2.743411784,52.12855399,0,0,749.3781886
ZWINT,3.328210286,4.034433259,52.05026367,0,0,747.9583578
CDCA8,3.424892055,3.376190423,51.94376156,0,0,746.0788754
TPX2,4.251096677,4.715520256,51.93406904,0,0,745.8548765
C16orf59,3.4823533,1.561097331,51.87298299,0,0,744.7842843
LINC00511,3.996743329,3.332360884,51.80814854,0,0,743.6578695
SGOL1,3.672998712,1.122480603,51.63852133,0,0,740.5761466
TMEM182,2.330942049,2.185717382,51.55595595,0,0,739.1426963
SPTBN2,3.09729156,4.634896727,51.55356026,0,0,739.0554984
BIRC5,4.286765324,4.173066868,51.07748397,2e-323,4.31e-321,730.5440524
DEPDC1B,3.919202706,1.779553908,51.0741427,3e-323,6.4e-321,730.5004796
PAFAH1B3,2.630302135,4.250350469,50.92270709,4.35e-322,9.199e-320,727.7613101
UBE2C,4.305388185,3.774593098,50.67905152,3.5454e-320,7.289173e-318,723.4035365
AURKA,3.237562911,3.559614703,50.53932576,4.3859e-319,8.932929e-317,720.8976167
MYBL2,4.488577452,4.31682689,50.38073825,7.638868e-318,1.513398547e-315,718.007184
KIAA0101,3.699038239,3.041293437,50.28711461,4.132121e-317,7.96914273e-315,716.3673277
KIF2C,3.70478661,3.466821629,50.21045738,1.6471968e-316,3.121509516e-314,714.975585
ALDH18A1,1.84228451,6.018524123,50.17637285,3.04694434e-316,5.62729305e-314,714.2736656
MCM4,2.981052991,5.780416141,50.12194875,8.13748055e-316,1.4778342806e-313,713.2929559
HMMR,3.539227104,2.669479304,50.11122418,9.8758446e-316,1.77871306884e-313,713.197908
EFNA4,2.179346827,3.360516009,50.02359278,4.806434267e-315,8.51598552677e-313,711.6073416
ABCA12,6.653910749,0.973241142,50.01566523,5.546402244e-315,9.7478019444e-313,711.429366
CKAP2L,3.857564747,2.340837008,49.85262405,1.05586917155e-313,1.8118548705236e-311,708.5275567
E2F8,3.29692372,1.657790564,49.67719492,2.521870569944e-312,4.19535307868576e-310,705.3426082
GINS2,3.720830431,2.648632055,49.65659256,3.661468301703e-312,6.04502868931937e-310,704.9864257
EFNA3,3.192489982,2.209769331,49.5894228,1.2351787426833e-311,0.00E+00,703.768165
FERMT1,4.254745862,3.847035565,49.58166495,1.421454237341e-311,0.00E+00,703.6002804
STIL,2.661761096,2.924825676,49.38269379,5.22641068128105e-310,8.19E-308,700.0273999
NUF2,3.854018759,2.517552238,49.36609718,7.0608850308337e-310,1.10E-307,699.7286931
TMEM177,2.063106266,2.762236255,49.28096547,0.00E+00,5.07E-307,698.1859358
MND1,3.429224268,0.634587958,49.17560997,2.24E-308,3.38E-306,696.226451
IGSF9,4.30519706,3.732262878,49.05793959,1.89E-307,2.82E-305,694.1140585
CENPA,4.017111795,1.590607085,48.81867395,1.46E-305,2.14E-303,689.785308
KIF14,3.725023089,2.188384991,48.76993497,3.55E-305,5.15E-303,688.9116359
ERCC6L,3.494863893,1.300705218,48.69815422,1.31E-304,1.86E-302,687.5876001
MELK,3.97593907,2.81023492,48.67623386,1.95E-304,2.76E-302,687.2087003
CCNB2,3.561992625,3.478275388,48.60056314,7.73E-304,1.08E-301,685.8147806
RRM2,3.90377352,4.642750197,48.56709721,1.42E-303,1.96E-301,685.145124
UBE2SP2,4.944757716,-0.198365697,48.56707556,1.42E-303,1.96E-301,685.1461331
MAD2L1,3.315089477,3.50164686,48.48550163,6.28E-303,8.50E-301,683.7200613
ASPM,3.679267141,3.325304389,48.25215017,4.41E-301,5.72E-299,679.4770541
TTK,4.010797466,2.445673653,48.24870669,4.70E-301,6.06E-299,679.4300108
TMPRSS4,6.262403558,4.66584717,48.1642303,2.19E-300,2.79E-298,677.8047086
OLA1P1,2.94122702,-0.737978261,48.14234839,3.27E-300,4.14E-298,677.3904647
ESCO2,3.803072723,1.399278535,48.13027237,4.07E-300,5.13E-298,677.2565665
PPAT,2.199782997,3.771700473,48.00748837,3.83E-299,4.77E-297,674.9951845
ASF1B,3.243045111,3.473270386,47.80733436,1.48E-297,1.82E-295,671.3558544
MCM10,3.877218287,2.040074012,47.80234151,1.62E-297,1.98E-295,671.2870459
RHNO1,1.996206252,4.647555971,47.78662866,2.16E-297,2.62E-295,670.9130313
CDCA7,3.600437555,3.369563603,47.67516686,1.66E-296,1.96E-294,668.945554
NCAPH,3.536391414,2.94563041,47.59612946,7.05E-296,8.17E-294,667.5146149
RP11-64K7.1,3.554543939,-2.282418467,47.59058876,7.80E-296,8.95E-294,667.2011014
TRIP13,3.799763971,3.454332519,47.55345713,1.54E-295,1.76E-293,666.7168418
SLC25A10,2.566985997,4.384339197,47.51330867,3.21E-295,3.62E-293,665.9303533
CDCA2,3.559471543,1.655173102,47.48559215,5.33E-295,5.96E-293,665.4942656
CCNF,2.371680276,3.592413747,47.47931286,5.98E-295,6.65E-293,665.3540719
EIF5AP4,4.294827424,-0.352556686,47.44709734,1.08E-294,1.19E-292,664.7254367
COL10A1,5.304850389,3.112462571,47.09449461,6.89E-292,7.44E-290,658.3281544
NCAPG,3.284313385,3.159113907,47.04853305,1.60E-291,1.71E-289,657.4841613
FAM83A,6.698393655,3.324045338,46.90137184,2.38E-290,2.52E-288,654.7791901
BUB1,3.254078653,3.629745127,46.84483933,6.73E-290,7.02E-288,653.7270076
CDC6,3.499964195,3.512300644,46.55303386,1.43E-287,1.45E-285,648.3751315
MIS18A,2.058305179,3.028656502,46.54368172,1.70E-287,1.71E-285,648.2238683
HMGN1P37,3.444014298,-2.259216696,46.51443421,2.91E-287,2.91E-285,647.5105023
CHEK1,2.603517824,3.332626825,46.50549745,3.43E-287,3.42E-285,647.510374
HMGB3,3.354903137,6.108696381,46.48910511,4.64E-287,4.60E-285,647.0939422
RP11-40C6.2,6.079700428,1.36325118,46.45338921,8.95E-287,8.83E-285,646.5706461
CDCA5,3.451100302,3.679091327,46.43020967,1.37E-286,1.34E-284,646.1085093
PAICS,2.220842826,6.387773501,46.4278435,1.43E-286,1.39E-284,645.9679626
HN1,2.224290312,6.387779404,46.37199817,4.00E-286,3.86E-284,644.9408528
KIFC1,3.192761917,3.72488287,46.36352102,4.68E-286,4.49E-284,644.8795647
TFAP2A,4.901013212,2.63120176,46.23518296,4.96E-285,4.68E-283,642.5623997
FAM111B,3.656426334,2.343015426,46.22350117,6.15E-285,5.78E-283,642.3511779
PPAP2C,3.124922078,5.073162547,46.20020228,9.45E-285,8.80E-283,641.7979462
AGMAT,3.279767318,0.05877138,46.15080958,2.35E-284,2.18E-282,640.9741693
NDC80,3.348890385,2.576588158,45.90324159,2.25E-282,2.04E-280,636.4526314
XRCC2,3.190477473,1.777088244,45.81012771,1.25E-281,1.13E-279,634.7408759
PBK,4.194882536,2.025719109,45.80309959,1.42E-281,1.28E-279,634.6122031
GTSE1,3.36985412,2.553416207,45.78516924,1.98E-281,1.77E-279,634.2773298
SNRPEP2,2.69995576,-0.773788174,45.73114618,5.37E-281,4.76E-279,633.2185181
PYCR1,3.0664353,5.617591722,45.72030359,6.56E-281,5.79E-279,632.9397451
CDK1,3.24234985,4.250409431,45.70406856,8.85E-281,7.75E-279,632.6998025
CDC45,3.934358254,2.547965679,45.65208388,2.31E-280,1.99E-278,631.8237672
CDKN3,3.494616905,2.132815469,45.61952536,4.21E-280,3.62E-278,631.2278117
FAM64A,3.926782672,1.590185877,45.58936571,7.35E-280,6.29E-278,630.6698792
FOXM1,3.814078438,4.577727794,45.49476224,4.22E-279,3.56E-277,628.8169011
OCIAD2,2.47232469,5.413895618,45.44376932,1.08E-278,9.11E-277,627.8399346
HN1L,1.719218913,6.748036972,45.35081748,6.03E-278,5.03E-276,626.1173949
BRI3BP,2.174747032,4.645925614,45.26392273,3.00E-277,2.50E-275,624.5490301
RP11-424C20.2,4.155861802,-0.78859012,45.23922934,4.74E-277,3.93E-275,624.1475664
PTTG1,2.890947006,3.830621854,45.18869651,1.21E-276,9.93E-275,623.2117071
SKA1,3.721738973,1.58256698,45.17291952,1.62E-276,1.32E-274,622.9831282
BUB1B,3.522422919,3.148088876,45.14614556,2.65E-276,2.16E-274,622.4640223
PRR11,3.151681852,2.814507053,45.06570407,1.17E-275,9.48E-274,620.9896655
YWHAZP4,3.200244539,-0.466290366,45.05643814,1.39E-275,1.12E-273,620.7852985
MMP12,6.400171526,2.729536504,45.00617099,3.53E-275,2.82E-273,619.8914391
MEX3A,3.592217779,3.034507826,44.97555155,6.23E-275,4.95E-273,619.3146533
PLK1,3.098758223,3.904748801,44.8571256,5.58E-274,4.37E-272,617.0739919
CST1,7.577461013,0.286634416,44.83526179,8.36E-274,6.51E-272,616.7192384
BRIP1,3.006661424,2.140258351,44.72925207,5.96E-273,4.60E-271,614.7790038
OIP5,3.575056629,0.89058969,44.67584447,1.60E-272,1.23E-270,613.7830382
CDT1,3.208994923,3.166965834,44.66281234,2.04E-272,1.56E-270,613.5208339
CBLC,3.844445089,2.946278889,44.65747514,2.25E-272,1.72E-270,613.4315377
DSG2,3.250242337,6.748159586,44.62226646,4.32E-272,3.29E-270,612.6377235
CENPU,2.830709273,3.197197577,44.6187956,4.61E-272,3.50E-270,612.7041594
MCM2,3.11746271,5.285384544,44.52752053,2.50E-271,1.86E-269,610.891331
FEN1,2.357282665,4.571389247,44.52623871,2.56E-271,1.89E-269,610.9008148
CDC25A,3.24576912,1.720748654,44.40789427,2.30E-270,1.68E-268,608.8293145
FUT2,3.627075802,2.547878109,44.39827312,2.75E-270,2.01E-268,608.642
AP000349.2,5.909469471,-0.212477496,44.3953563,2.90E-270,2.11E-268,608.5649667
DTL,3.217467594,3.236272691,44.38136401,3.76E-270,2.73E-268,608.3024462
NEIL3,3.941781098,0.403991859,44.35264943,6.41E-270,4.63E-268,607.7888599
HJURP,3.56257105,2.916135355,44.34824242,6.96E-270,5.01E-268,607.7029465
TK1,3.113045986,5.0874784,44.29740676,1.79E-269,1.28E-267,606.6314692
SIX4,2.955694746,3.062516533,44.07512147,1.11E-267,7.74E-266,602.6304799
CCDC34,2.447908852,2.975516396,44.05031288,1.76E-267,1.22E-265,602.1739278
GJB2,5.834377746,3.657070771,44.03643499,2.27E-267,1.57E-265,601.8781468
YWHAZP5,3.563817699,-0.052570402,43.998723,4.58E-267,3.16E-265,601.2173142
GPRIN1,2.758356791,2.27637082,43.97919318,6.58E-267,4.51E-265,600.8744991
KIF15,2.935252699,2.13487708,43.95547251,1.02E-266,6.96E-265,600.4363075
NLN,1.818707462,4.541836957,43.91130587,2.32E-266,1.57E-264,599.4926874
RAD51,3.138130134,2.168579922,43.88138476,4.05E-266,2.72E-264,599.0604311
WDHD1,2.240174428,3.412175247,43.84019316,8.71E-266,5.80E-264,598.2496628
CTHRC1,3.584727391,4.568287721,43.74024141,5.58E-265,3.68E-263,596.3124831
TFB2M,1.793269882,3.946859865,43.65178533,2.89E-264,1.89E-262,594.7117495
NUSAP1,2.89328274,4.253577653,43.60554706,6.84E-264,4.42E-262,593.8296451
MKI67,3.294234256,5.278347562,43.48041083,7.01E-263,4.47E-261,591.446624
GPT2,2.820545169,4.499141328,43.46270055,9.75E-263,6.20E-261,591.1559748
HMGN1P36,3.042236386,-2.806652263,43.37879415,4.65E-262,2.93E-260,589.5619374
PLEK2,3.410597144,2.690438022,43.37216818,5.26E-262,3.30E-260,589.5840925
PKMYT1,3.188707104,3.050423672,43.34056418,9.47E-262,5.91E-260,588.9809689
CHAF1B,2.126374381,3.106978265,43.33845803,9.85E-262,6.13E-260,588.9389255
ESRP1,2.291210409,6.162572996,43.33137103,1.12E-261,6.98E-260,588.6602706
RCC1,1.813033607,5.359425243,43.17105821,2.23E-260,1.37E-258,585.6859711
HS6ST2,4.705140224,2.925842495,43.02886849,3.15E-259,1.91E-257,583.1847056
PPIAP22,2.091592367,5.60331904,42.91119764,2.82E-258,1.69E-256,580.8387603
RP6-65G23.3,3.135191682,-0.735112998,42.90524653,3.15E-258,1.89E-256,580.87928
RP11-204C16.4,3.290381141,-0.450676849,42.82302549,1.46E-257,8.70E-256,579.3565602
SPP1,5.186515653,6.838573514,42.73892398,7.01E-257,4.14E-255,577.6262039
TPD52,2.282627277,6.189675867,42.69426108,1.61E-256,9.50E-255,576.7894261
CENPE,2.829084517,2.800077449,42.68230058,2.02E-256,1.18E-254,576.7324712
MTX2,1.529843687,4.771039112,42.63658323,4.73E-256,2.73E-254,575.7496835
RBBP8NL,3.779364737,0.845601382,42.61589674,6.96E-256,4.00E-254,575.5192742
GGCT,1.851648781,5.430636955,42.60186419,9.04E-256,5.19E-254,575.0745395
AURKB,3.510279378,2.85213401,42.59674386,9.95E-256,5.69E-254,575.1349367
MARVELD3,2.314824442,3.484471105,42.59344382,1.06E-255,6.04E-254,575.0371787
NIPSNAP1,1.950599755,5.794137241,42.5728941,1.55E-255,8.84E-254,574.5273288
PDIA4,1.993738843,8.043653497,42.55902064,2.01E-255,1.14E-253,574.2876296
RASAL1,3.734961184,1.461044836,42.53284756,3.28E-255,1.85E-253,573.973299
ALG1L,4.902813849,1.273168378,42.46790714,1.10E-254,6.14E-253,572.7625297
FANCF,1.697347908,3.643709553,42.39586979,4.23E-254,2.35E-252,571.3397078
PLK4,2.472573009,2.427315969,42.33861713,1.23E-253,6.80E-252,570.3357307
RP11-650L12.2,3.944435596,-0.593707892,42.33583837,1.30E-253,7.12E-252,570.2749212
CENPL,1.882356556,2.62617344,42.27234332,4.25E-253,2.32E-251,569.0921868
CSTF2,1.633802797,3.972296998,42.2550905,5.86E-253,3.19E-251,568.686515
AUNIP,3.095644246,0.745279828,42.18251207,2.28E-252,1.23E-250,567.4362622
CCT3,1.655876178,7.785611179,42.17930829,2.42E-252,1.30E-250,567.1949459
NME1,2.356768602,5.823345961,42.17093307,2.82E-252,1.52E-250,567.0232382
CTD-2527I21.15,4.744009045,-2.354891039,42.14757259,4.37E-252,2.33E-250,566.6834267
SLC39A11,1.929689787,5.150550999,42.11049861,8.74E-252,4.66E-250,565.9108036
RPS2P55,2.638008777,0.838256134,42.06658806,1.99E-251,1.06E-249,565.2734152
ORC6,2.887007808,2.289700243,42.05179524,2.62E-251,1.38E-249,564.9855612
CASC5,2.869485217,2.658901567,42.03519612,3.57E-251,1.88E-249,564.6632664
LAD1,3.461000888,6.242083102,41.98925919,8.42E-251,4.42E-249,563.6275018
SPC25,3.20781381,1.455122377,41.96710145,1.27E-250,6.68E-249,563.4166389
ST14,2.220492514,7.266446124,41.89404052,5.00E-250,2.60E-248,561.8568701
GHET1,2.703073079,-1.644574896,41.87743535,6.81E-250,3.54E-248,561.6844944
CKS1B,2.312362735,5.29202036,41.80869903,2.46E-249,1.27E-247,560.265412
XDH,4.458834239,1.715783722,41.77163616,4.93E-249,2.52E-247,559.7632813
MDK,3.041167709,6.644450116,41.75825205,6.33E-249,3.22E-247,559.3113597
ETV4,3.344474496,3.796959526,41.73406924,9.95E-249,5.04E-247,558.9657516
TRAIP,2.111369843,1.755354491,41.54011253,3.75E-247,1.87E-245,555.4355074
CENPH,2.290490882,2.64672031,41.52633221,4.85E-247,2.41E-245,555.1537162
POLR2D,1.484863299,5.063029245,41.52405397,5.06E-247,2.51E-245,554.9507919
SUV39H2,1.792854002,2.804297185,41.49845472,8.18E-247,4.03E-245,554.625238
SORD2P,2.844191641,2.574198465,41.42727596,3.10E-246,1.51E-244,553.3040647
C1orf106,2.702114006,5.171667364,41.4014396,5.03E-246,2.44E-244,552.6518977
FAM83H-AS1,2.791415428,4.340447346,41.38606966,6.70E-246,3.25E-244,552.413262
SGPL1,1.463068866,6.299657805,41.37989166,7.52E-246,3.64E-244,552.2312716
ORC1,2.844908572,2.128033759,41.36396614,1.01E-245,4.90E-244,552.134218
LSR,2.223371486,6.931113305,41.34316045,1.50E-245,7.20E-244,551.5485534
C1orf112,1.785511714,3.183707649,41.20403737,2.03E-244,9.62E-243,549.0952873
PRIM2,1.785819677,3.550165583,41.18273321,3.02E-244,1.43E-242,548.6706028
C17orf53,2.691357656,1.92334638,41.05819776,3.11E-243,1.45E-241,546.4175464
PVRL4,3.077217015,5.008995247,41.05761974,3.15E-243,1.46E-241,546.2221411
PCAT6,2.600449708,0.767176655,40.9767439,1.43E-242,6.62E-241,544.9018634
RAD51AP1,2.871478778,2.658018477,40.94631318,2.53E-242,1.17E-240,544.299207
ECT2,2.576214979,5.163883268,40.92169394,4.02E-242,1.85E-240,543.669201
CENPM,2.953517244,2.383184345,40.91873802,4.24E-242,1.95E-240,543.7939001
MSH2,1.825118005,4.777340044,40.91804206,4.30E-242,1.97E-240,543.6201354
FAM86JP,2.485793514,1.409921894,40.90793482,5.20E-242,2.38E-240,543.6121525
RAD54L,3.307712339,2.130948636,40.8976998,6.30E-242,2.88E-240,543.4078668
MRPL3,1.758197977,6.199190525,40.88753679,7.62E-242,3.47E-240,543.0111791
KPNA2,2.352387293,6.263228622,40.87451477,9.72E-242,4.42E-240,542.7672997
NDC1,1.760633811,4.725292554,40.87014465,1.06E-241,4.79E-240,542.7259584
SPC24,2.887310218,2.153919847,40.84313411,1.75E-241,7.93E-240,542.38544
TUBB3,4.279247812,4.202911904,40.80589411,3.52E-241,1.58E-239,541.5599028
PARS2,1.806881183,2.109696003,40.75110421,9.83E-241,4.39E-239,540.6630908
RPL37P6,3.52931628,-2.007884137,40.74290782,1.15E-240,5.11E-239,540.4644023
DSP,3.733420872,7.732217197,40.73216403,1.40E-240,6.23E-239,540.1162309
RDM1,3.380993068,-1.677365432,40.67787088,3.88E-240,1.71E-238,539.2621771
PRR19,2.408122182,0.140723919,40.65997136,5.43E-240,2.39E-238,538.968129
RP11-27G14.4,3.134305187,-1.144916555,40.64149111,7.67E-240,3.37E-238,538.5999695
CTD-3010D24.3,4.463048566,-2.469189757,40.61639069,1.23E-239,5.39E-238,538.0724707
SGOL2,2.340413263,2.704776347,40.58977983,2.02E-239,8.84E-238,537.6183799
SNRPGP2,2.692198455,-0.698533919,40.5067411,9.60E-239,4.14E-237,536.0877598
PROM2,3.464107528,5.021402277,40.5022226,1.05E-238,4.50E-237,535.813755
RPL12P38,3.012593373,-2.351521005,40.49877478,1.12E-238,4.79E-237,535.8779066
RP11-783K16.5,3.429653819,-1.109490354,40.45167294,2.70E-238,1.15E-236,535.0469298
CPSF3,1.469631006,5.138292285,40.35368866,1.70E-237,7.13E-236,533.0231417
DCAF13,1.653332229,5.311655738,40.33168322,2.56E-237,1.07E-235,532.6038204
RHBDL2,2.991943589,1.751023684,40.27288147,7.72E-237,3.22E-235,531.7106167
ECE2,2.883868581,3.31424229,40.24221789,1.37E-236,5.71E-235,531.0656272
OLA1,1.645662681,6.016733839,40.21349064,2.35E-236,9.77E-235,530.3742493
KIF18B,3.48437883,2.683399493,40.2118289,2.43E-236,1.01E-234,530.534627
PDCD2L,1.834713385,2.736183138,40.1702849,5.30E-236,2.18E-234,529.752906
EIF2AK1,1.359268021,7.323530892,40.11982187,1.37E-235,5.57E-234,528.6269375
IQGAP3,2.865790477,3.832750623,40.0848357,2.63E-235,1.07E-233,528.071851
RPP40,2.175012226,1.992135865,40.02526195,8.06E-235,3.25E-233,527.0621509
HMGA1,2.450453239,7.338028452,40.00625087,1.15E-234,4.63E-233,526.4960965
AL158801.1,3.132570881,-0.475738381,39.94969003,3.33E-234,1.33E-232,525.653933
SNRPE,1.541112461,5.346649907,39.91594297,6.27E-234,2.49E-232,524.8024882
KIF18A,2.353059564,2.306307879,39.90270446,8.04E-234,3.18E-232,524.7532161
RMI1,1.720673751,3.408351975,39.89019367,1.02E-233,4.02E-232,524.454929
SHCBP1,2.441847795,2.7303001,39.88532067,1.11E-233,4.39E-232,524.4080371
CENPI,2.686025024,1.532480722,39.86005767,1.79E-233,7.02E-232,523.973571
CCNA2,2.822999148,3.691346481,39.83754867,2.73E-233,1.07E-231,523.4439286
DENR,1.362036117,5.785642668,39.82415243,3.51E-233,1.37E-231,523.0699303
THNSL1,1.973181853,2.736560852,39.78910676,6.79E-233,2.63E-231,522.6024545
FAAP24,2.206678687,1.6297487,39.7825327,7.68E-233,2.97E-231,522.5176554
RNASEH2A,2.18336995,4.030151578,39.78166144,7.81E-233,3.02E-231,522.3657185
MRPL19,1.434452168,4.839168329,39.76610156,1.05E-232,4.02E-231,522.0129345
ARHGAP11A,2.506374424,3.64802992,39.709441,3.03E-232,1.16E-230,521.0432024
B3GNT3,4.819784362,2.437472117,39.67784963,5.48E-232,2.09E-230,520.5291047
NPM3,2.085884365,4.014784943,39.6505758,9.15E-232,3.49E-230,519.9064029
PKP3,2.264651881,5.747459318,39.61814706,1.68E-231,6.36E-230,519.2029099
CKAP2,2.085638058,4.338281868,39.60931975,1.99E-231,7.49E-230,519.1046451
GRHL3,5.201979422,0.86443864,39.58610049,3.07E-231,1.15E-229,518.8410465
TYMS,2.545741982,4.257696807,39.57264857,3.96E-231,1.48E-229,518.4226828
CRABP2,4.542363469,4.512317656,39.53380808,8.21E-231,3.07E-229,517.6734273
CHRNA5,3.299473057,0.900949397,39.50719799,1.35E-230,5.05E-229,517.3604687
POC1A,1.870449794,2.553490647,39.49253081,1.78E-230,6.64E-229,517.0456997
DIEXF,1.517089568,4.533168886,39.38807547,1.27E-229,4.68E-228,514.9351884
CNOT11,1.279332873,5.620228594,39.38394412,1.37E-229,5.05E-228,514.8068481
SLC2A1,4.135370747,6.890532374,39.34438532,2.88E-229,1.06E-227,514.0638345
PIGU,1.425022892,4.565784053,39.33739232,3.29E-229,1.20E-227,513.980926
PITX1,5.975570882,2.215210713,39.29581104,7.18E-229,2.62E-227,513.3671484
FAM207BP,2.53408045,-2.096651082,39.26852214,1.20E-228,4.36E-227,512.8382604
CCDC58,1.954048702,3.19420683,39.2595693,1.42E-228,5.14E-227,512.6329759
CCDC167,1.851591019,3.345050881,39.23251033,2.36E-228,8.54E-227,512.1133917
CDH3,4.176857222,5.489426784,39.19809651,4.50E-228,1.62E-226,511.3188551
EXOSC5,1.921894495,3.813058341,39.19062468,5.18E-228,1.86E-226,511.2871694
ATP10B,4.737551579,0.695975843,39.14022246,1.34E-227,4.76E-226,510.4743772
AC007128.1,4.734903967,-2.595843982,39.07949364,4.18E-227,1.48E-225,509.2703187
CCNE1,2.84238525,2.155586592,38.99627927,2.00E-226,7.05E-225,507.7451025
CA9,6.327745965,1.28870258,38.98308312,2.56E-226,9.01E-225,507.5189906
MRPL30,1.444132865,4.776759142,38.94228163,5.52E-226,1.93E-224,506.5440827
YWHAZP2,2.93335487,-2.393218722,38.92792519,7.23E-226,2.52E-224,506.436926
BLM,2.264201734,2.605693362,38.91838235,8.65E-226,3.00E-224,506.2621382
BZW2,1.725483995,6.036583691,38.9096603,1.02E-225,3.53E-224,505.8919335
FIGNL1,1.957108603,3.612214911,38.89494422,1.34E-225,4.65E-224,505.7504121
TMEM69,1.306123314,4.405395703,38.87208698,2.06E-225,7.12E-224,505.2517068
CHRNB4,4.506753587,-1.923487903,38.8640644,2.40E-225,8.26E-224,505.2575294
LIN9,1.8230415,2.683135513,38.83184497,4.40E-225,1.51E-223,504.6324445
HNRNPA1P4,3.011847579,-2.219068307,38.82308506,5.19E-225,1.78E-223,504.4774741
HELLS,2.336149735,3.396106468,38.79251852,9.21E-225,3.14E-223,503.8442881
AC133785.1,4.492714675,-2.97441694,38.78266417,1.11E-224,3.78E-223,503.6826196
STYK1,2.658480821,2.023286698,38.7597839,1.70E-224,5.79E-223,503.3080953
DARS2,1.699041706,4.581793559,38.62180178,2.28E-223,7.63E-222,500.534767
TIMM8A,1.577219353,2.548072068,38.62044121,2.34E-223,7.81E-222,500.6682484
LGR4,2.332261385,4.828877207,38.60553565,3.10E-223,1.03E-221,500.2125115
SORD,2.09688818,4.860434621,38.59326294,3.90E-223,1.29E-221,499.9799506
ZP3,2.876331988,2.111415001,38.54656092,9.39E-223,3.10E-221,499.2996148
PARPBP,2.509342953,2.195957796,38.50794106,1.94E-222,6.37E-221,498.5707854
PSMG3,1.665095386,4.70822181,38.49772437,2.35E-222,7.70E-221,498.1938287
STRA6,4.629411534,1.461831469,38.48416187,3.04E-222,9.91E-221,498.1460158
CDCA4,2.21385199,4.064628587,38.46874933,4.06E-222,1.32E-220,497.7008591
TUBA1C,2.297329032,7.794932422,38.40629195,1.31E-221,4.26E-220,496.449488
RABIF,1.354981964,3.849793787,38.39801529,1.53E-221,4.96E-220,496.3909864
GINS4,2.596815013,2.32059482,38.35093094,3.72E-221,1.20E-219,495.61552
PARP1,1.488747711,7.177071502,38.30113389,9.49E-221,3.05E-219,494.4625484
RHOV,4.509041899,3.040578265,38.29729696,1.02E-220,3.27E-219,494.5658959
NUP155,1.735029178,5.303742952,38.29591707,1.05E-220,3.35E-219,494.3696171
BIK,2.962057461,1.778940741,38.27081642,1.68E-220,5.36E-219,494.1302419
ZFP64,1.689822147,4.080032776,38.2603632,2.04E-220,6.52E-219,493.7825905
FAM220A,1.435389198,4.232862661,38.24721989,2.62E-220,8.33E-219,493.5219697
PAK1,1.694803925,6.03256524,38.24659272,2.65E-220,8.42E-219,493.4288557
KDF1,1.899225196,3.694238766,38.20818302,5.45E-220,1.73E-218,492.8371428
POLE2,2.355557552,1.644352822,38.19635435,6.81E-220,2.15E-218,492.7349713
SOX4,2.063704838,6.794222782,38.19389613,7.13E-220,2.25E-218,492.4417394
NCAPG2,1.958094133,4.322989539,38.12200226,2.76E-219,8.62E-218,491.1603686
FAM103A1,1.481021307,4.28318453,38.11231214,3.31E-219,1.03E-217,490.9815811
SFXN1,1.593422381,5.135605484,38.1050775,3.79E-219,1.18E-217,490.7886402
TMPRSS11E,6.32580087,0.216558685,38.09002289,5.03E-219,1.56E-217,490.755185
CLSPN,2.748690258,1.848814194,38.06571283,7.94E-219,2.46E-217,490.2744266
GALNT7,1.894472023,5.286033328,38.05192395,1.03E-218,3.17E-217,489.7831553
HYLS1,1.755500629,2.064778219,38.0369128,1.37E-218,4.20E-217,489.7256529
AP1S1,1.662552198,5.130515328,38.01626149,2.01E-218,6.18E-217,489.1190544
PLEKHG6,2.9180832,2.907929596,37.95073966,6.91E-218,2.10E-216,488.0618986
PTPRH,4.483204376,1.028694424,37.93963758,8.51E-218,2.59E-216,487.923984
